Matricula,Admissão,Sindicato do Colaborador,Competência,Dias,VALOR DIÁRIO VR,TOTAL,Custo empresa,Desconto profissional,OBS GERAL
31091,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-06,22,35.0,770.0,616.0,154.0,Trabalhando
33423,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-06,22,35.0,770.0,616.0,154.0,Trabalhando
30502,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-06,22,35.0,770.0,616.0,154.0,Trabalhando
35486,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-06,22,35.0,770.0,616.0,154.0,Trabalhando
35228,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-06,22,35.0,770.0,616.0,154.0,Trabalhando
35255,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-06,22,35.0,770.0,616.0,154.0,Trabalhando
35183,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-06,22,35.0,770.0,616.0,154.0,Trabalhando
35185,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-06,22,35.0,770.0,616.0,154.0,Trabalhando
35260,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-06,22,35.0,770.0,616.0,154.0,Trabalhando
35195,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-06,22,35.0,770.0,616.0,154.0,Trabalhando
35401,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-06,22,35.0,770.0,616.0,154.0,Trabalhando
34053,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-06,22,35.0,770.0,616.0,154.0,Trabalhando
34342,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-06,22,35.0,770.0,616.0,154.0,Trabalhando
